date_gmt,time_period,latitude,longitude
29/11/2011,evening,-63.276,107.272
30/11/2011,day,-63.27,105.764
30/11/2011,evening,-63.548,106.834
1/12/2011,day,-63.504,107.354
1/12/2011,evening,-63.504,107.924
2/12/2011,day,-63.46,106.722
2/12/2011,evening,-63.614,107.892
3/12/2011,day,-63.574,106.694
3/12/2011,evening,-64.022,110.342
4/12/2011,day,-63.972,111.418
4/12/2011,evening,-63.732,110.842
5/12/2011,day,-63.658,111.466
5/12/2011,evening,-63.294,109.568
6/12/2011,day,-63.2325,102.1025
6/12/2011,evening,-63.6025,103.345
7/12/2011,day,-63.54,103.99
7/12/2011,evening,-63.426,107.606
8/12/2011,day,-63.485,114.375
8/12/2011,evening,-63.5825,113.3075
9/12/2011,day,-63.525,114.0175
9/12/2011,evening,-63.442,108.95
10/12/2011,day,-63.416,108.132
10/12/2011,evening,-63.53,109.438
11/12/2011,day,-63.37,117.8
11/12/2011,evening,-63.46,107.9266667
12/12/2011,day,-63.42333,106.8166667
12/12/2011,evening,-63.2975,99.485
13/12/2011,day,-63.29,95.23
13/12/2011,evening,-63.18,95.6
14/12/2011,day,-63.15,97.41
14/12/2011,evening,-63.23333,114.7333333
15/12/2011,day,-63.11,120.525
15/12/2011,evening,-62.94,117.71
16/12/2011,day,-62.895,118.39
16/12/2011,evening,-63.02,121.265
17/12/2011,day,-63.015,119.51
17/12/2011,evening,-62.83333,114.97
18/12/2011,day,-62.925,116.575
18/12/2011,evening,-63.14333,110.5533333
19/12/2011,day,-62.945,118.385
19/12/2011,evening,-62.74667,115.7166667
20/12/2011,day,-62.905,121.76
20/12/2011,evening,-62.83,122.445
21/12/2011,day,-62.85,118.885
21/12/2011,evening,-63.09,107.3033333
22/12/2011,day,-63.07667,109.9033333
22/12/2011,evening,-62.85667,109.3433333
23/12/2011,day,-62.86667,107.6533333
23/12/2011,evening,-63.08,109.5066667
24/12/2011,day,-62.86,118.125
24/12/2011,evening,-63.02,120.0866667
25/12/2011,day,-62.925,118.69
25/12/2011,evening,-62.84,115.755
26/12/2011,day,-62.85,114.815
26/12/2011,evening,-63.05,116.94
27/12/2011,day,-63.07,117.44
27/12/2011,evening,-63.085,118.25
28/12/2011,day,-63.11,119.31
28/12/2011,evening,-63.15,119.29
29/12/2011,day,-63.18,119.56
29/12/2011,evening,-63.09333,117.7466667
30/12/2011,day,-63.025,118.615
30/12/2011,evening,-63.03,116.745
31/12/2011,day,-62.985,161.88
31/12/2011,evening,-63.56,105.74
1/01/2012,evening,-63.695,120.355
2/01/2012,day,-63.45,150.65
2/01/2012,evening,-63.32333,105.8933333
3/01/2012,day,-63.36667,106.3666667
3/01/2012,evening,-63.5725,104.56
4/01/2012,day,-63.6125,103.9925
4/01/2012,evening,-63.654,103.858
5/01/2012,day,-63.6575,102.89
5/01/2012,evening,-63.725,104.6625
6/01/2012,day,-63.79333,91.25333333
6/01/2012,evening,-63.55,89.43333333
7/01/2012,day,-63.60667,89.2
7/01/2012,evening,-63.784,105.14
8/01/2012,day,-63.77,100.875
8/01/2012,evening,-63.9175,101.2125
9/01/2012,day,-64.0125,101.5125
9/01/2012,evening,-64.1575,102.69
10/01/2012,day,-64.3,88.80666667
10/01/2012,evening,-63.945,93.4525
11/01/2012,day,-64.0025,91.9075
11/01/2012,evening,-64.46,93.955
12/01/2012,day,-64.55,94.7575
12/01/2012,evening,-64.3575,92.4925
13/01/2012,day,-64.425,90.76
13/01/2012,evening,-64.785,91.745
14/01/2012,day,-64.87,93.3525
14/01/2012,evening,-64.595,91.685
15/01/2012,day,-64.645,93.0075
15/01/2012,evening,-64.724,102.782
16/01/2012,day,-64.838,105.05
16/01/2012,evening,-64.808,105.47
17/01/2012,day,-64.908,106.212
17/01/2012,evening,-64.694,103.954
18/01/2012,day,-64.6925,109.9175
18/01/2012,evening,-64.615,108.3
19/01/2012,day,-64.7225,106.6875
19/01/2012,evening,-65.042,98.964
20/01/2012,day,-65.098,102.352
20/01/2012,evening,-64.856,102.838
21/01/2012,day,-65.012,101.626
21/01/2012,evening,-65.366,103.086
22/01/2012,day,-65.2925,108.3125
22/01/2012,evening,-65.45,107.3175
23/01/2012,day,-65.5225,109.975
23/01/2012,evening,-65.578,104.27
24/01/2012,day,-65.768,103.052
24/01/2012,evening,-65.992,102.76
25/01/2012,day,-66.076,104.562
25/01/2012,evening,-65.774,103.066
26/01/2012,day,-65.904,101.844
26/01/2012,evening,-65.974,99.902
27/01/2012,day,-66.056,101.026
27/01/2012,evening,-65.96,101.174
28/01/2012,day,-66.004,104.35
28/01/2012,evening,-65.326,102.174
29/01/2012,day,-65.376,103.102
29/01/2012,evening,-65.12,101.996
30/01/2012,day,-65.41,97.82
30/01/2012,evening,-66.284,98.242
31/01/2012,day,-66.47,98.836
31/01/2012,evening,-66.18,96.654
1/02/2012,day,-66.188,98.246
1/02/2012,evening,-66.204,99.462
2/02/2012,day,-66.404,100.156
2/02/2012,evening,-65.306,94.444
3/02/2012,day,-64.93,95.71
3/02/2012,evening,-64.658,94.5
4/02/2012,day,-64.724,94.438
4/02/2012,evening,-65.08,95.2
5/02/2012,day,-65.332,94.562
5/02/2012,evening,-65.776,94.872
6/02/2012,day,-65.978,95.03
6/02/2012,evening,-65.734,93.416
7/02/2012,day,-65.892,92.024
7/02/2012,evening,-66.304,91.308
8/02/2012,day,-66.396,91.788
8/02/2012,evening,-66.288,91.294
9/02/2012,day,-66.328,92.072
9/02/2012,evening,-66.218,91.652
10/02/2012,day,-66.344,92.258
10/02/2012,evening,-65.712,90.056
11/02/2012,day,-65.718,90.206
11/02/2012,evening,-65.916,89.912
12/02/2012,day,-65.97,91.388
12/02/2012,evening,-65.266,89.856
13/02/2012,day,-65.238,89.932
13/02/2012,evening,-65.556,90.304
14/02/2012,day,-65.824,90.702
14/02/2012,evening,-64.986,87.224
15/02/2012,day,-64.62,87.818
15/02/2012,evening,-65.248,89.286
16/02/2012,day,-65.644,89.582
16/02/2012,evening,-66.238,90.9
17/02/2012,day,-66.578,91.468
17/02/2012,evening,-65.638,88.506
18/02/2012,day,-65.458,88.172
18/02/2012,evening,-65.966,88.314
19/02/2012,day,-66.208,88.604
19/02/2012,evening,-65.902,87.316
20/02/2012,day,-65.964,87.104
20/02/2012,evening,-66.448,87.392
21/02/2012,day,-66.574,88.454
21/02/2012,evening,-65.056,85.066
22/02/2012,day,-64.74,84.05
22/02/2012,evening,-65.456,83.636
23/02/2012,day,-65.906,82.916
23/02/2012,evening,-66.156,82.052
24/02/2012,day,-65.97,83.658
24/02/2012,evening,-65.086,83.04
25/02/2012,day,-64.81,84.022
25/02/2012,evening,-65.27,84.626
26/02/2012,day,-65.306,87.106
26/02/2012,evening,-63.43,85.312
27/02/2012,day,-63.51,84.19
27/02/2012,evening,-65.31,84.862
28/02/2012,day,-65.324,86.92
28/02/2012,evening,-62.342,83.2
29/02/2012,day,-61.764,83.602
29/02/2012,evening,-62.464,84.978
1/03/2012,day,-62.892,85.002
1/03/2012,evening,-63.626,85.002
2/03/2012,day,-63.526,86.552
2/03/2012,evening,-63.568,86.728
3/03/2012,day,-63.81,87.3
3/03/2012,evening,-64.38,88.05
4/03/2012,day,-64.854,87.794
4/03/2012,evening,-64.02,85.092
5/03/2012,day,-63.696,86.68
5/03/2012,evening,-63.426,87.024
6/03/2012,day,-65.046,85.508
6/03/2012,evening,-63.878,82.454
7/03/2012,day,-63.032,81.722
7/03/2012,evening,-63.602,79.44
8/03/2012,day,-63.212,80.472
8/03/2012,evening,-63.444,79.776
9/03/2012,day,-63.866,81.372
9/03/2012,evening,-64.58,80.288
10/03/2012,day,-63.64,79.54
10/03/2012,evening,-61.762,77.8
11/03/2012,day,-61.156,78.02
11/03/2012,evening,-61.162,74.86
12/03/2012,day,-61.31733,72.342
12/03/2012,evening,-61.75067,71.212
13/03/2012,day,-62.67,70.238
13/03/2012,evening,-63.24533,68.156
14/03/2012,day,-62.58467,66.43
14/03/2012,evening,-62.5423,63.028
15/03/2012,day,-63.10459,62.498
15/03/2012,evening,-62.07889,61.182
16/03/2012,day,-62.19319,60.996
16/03/2012,evening,-61.92548,61.11
17/03/2012,day,-61.69578,61.074
17/03/2012,evening,-61.72407,54.886
18/03/2012,day,-61.37237,51.626
18/03/2012,evening,-61.77867,50.336
19/03/2012,day,-62.04696,47.298
19/03/2012,evening,-59.72,44.538
20/03/2012,day,-60.3877,46.79
20/03/2012,evening,-63.23488,53.5975
21/03/2012,day,-57.53509,34.06333333
21/03/2012,evening,-61.77789,43.865
22/03/2012,day,-58.18252,30.156
22/03/2012,evening,-57.30872,30.51
23/03/2012,day,-56.61693,28.98
23/03/2012,evening,-53.27454,32.735
24/03/2012,day,-57.26069,21.31
24/03/2012,evening,-54.21554,24.352
25/03/2012,day,-53.88174,23.728
25/03/2012,evening,-53.43594,18.904
26/03/2012,day,-50.82846,11.38833333
26/03/2012,evening,-52.43325,18.8875
27/03/2012,day,-47.25921,10.805
27/03/2012,evening,-48.21939,18.1775
28/03/2012,day,-44.56664,9.83
28/03/2012,evening,-53.74736,25.88666667
29/03/2012,day,-39.47776,9.742857143
29/03/2012,evening,-49.21012,25.58666667
30/03/2012,day,-36.00127,7.23
30/03/2012,evening,-46.65247,25.1
31/03/2012,day,-35.11228,3.757142857
31/03/2012,evening,-51.28222,30.67
1/04/2012,day,-30.09042,2.028571429
1/04/2012,evening,-37.10333,11.37333333
2/04/2012,day,-25.86667,0.01
2/04/2012,evening,-27.83,1.005
3/04/2012,day,-15.74,-5.1683
3/04/2012,evening,-20.135,-4.3525
4/04/2012,day,-13.668,-8.56
4/04/2012,evening,-12.434,-10.698
5/04/2012,day,-11.298,-12.232
5/04/2012,evening,-5.1025,-16.33
6/04/2012,day,-9.51833,-12.4617
6/04/2012,evening,1.3075,-19.465
7/04/2012,day,-2.05542,-16.2633
7/04/2012,evening,6.42375,-22.1
8/04/2012,day,3.302083333,-18.8333
8/04/2012,evening,11.285,-21.545
9/04/2012,day,8.058,-19.982
9/04/2012,evening,8.904,-21.012
10/04/2012,day,11.29,-21.424
10/04/2012,evening,13.774,-22.382
11/04/2012,day,15.702,-22.538
11/04/2012,evening,18.23,-23.598
12/04/2012,day,19.836,-24.27
12/04/2012,evening,20.046,-25.696
13/04/2012,day,21.482,-26.718
13/04/2012,evening,29.965,-34.3325
14/04/2012,day,17.14333333,-24.91
14/04/2012,evening,30.4425,-36.5825
15/04/2012,day,19.88,-23.865
15/04/2012,evening,35.835,-34.05
16/04/2012,day,26.33285714,-22.7843
16/04/2012,evening,38.16666667,-36.7833
17/04/2012,day,37.085,-20.0433
17/04/2012,evening,35.082,-23.006
18/04/2012,day,35.544,-22.864
18/04/2012,evening,36.222,-22.892
19/04/2012,day,37.676,-22.318
19/04/2012,evening,37.64,-22.12
20/04/2012,day,37.706,-20.22
20/04/2012,evening,37.84,-18.896
21/04/2012,day,41.28,-15.9357
21/04/2012,evening,37.24666667,-21.39
22/04/2012,day,42.48428571,-14.34
22/04/2012,evening,38.38333333,-18.69
23/04/2012,day,42.93125,-9.6763
23/04/2012,evening,44.245,-7.36
24/04/2012,day,46.52166667,-4.0767
24/04/2012,evening,47.976,-2.65
25/04/2012,day,48.614,-0.72
25/04/2012,evening,48.168,-1.292
26/04/2012,day,48.436,-2.774
26/04/2012,evening,49.868,-1.516
27/04/2012,day,50.628,-2.052
27/04/2012,evening,49.9296,-4.642
28/04/2012,day,50.2432,-3.51
28/04/2012,evening,50.1508,-2.514
29/04/2012,day,50.4964,-2.036
29/04/2012,evening,50.822,1.066
30/04/2012,day,50.392,0.614
30/04/2012,evening,50.548,0.732
1/05/2012,day,51.07,0.743333333
1/05/2012,evening,52.4425,7.1925
2/05/2012,day,51.55833333,0.615
2/05/2012,evening,53.0875,6.415
3/05/2012,day,51.41666667,0.798333333
3/05/2012,evening,51.6875,5.2025
4/05/2012,day,50.56083333,3.775
4/05/2012,evening,50.624,6.852
5/05/2012,day,50.857,7.092
5/05/2012,evening,50.656,7.312
6/05/2012,day,50.98125,6.37
6/05/2012,evening,52.0825,7.735
7/05/2012,day,52.6475,6.325
7/05/2012,evening,53.1875,6.0325
8/05/2012,day,52.03,8.9675
8/05/2012,evening,50.38333333,7.95
9/05/2012,day,50.64333333,6.44
9/05/2012,evening,50.81333333,6.33
10/05/2012,day,50.95,4.85
10/05/2012,evening,52.44666667,5.816666667
11/05/2012,day,52.68666667,5.966666667
11/05/2012,evening,53.45666667,6.466666667
12/05/2012,day,53.28333333,6.55
12/05/2012,evening,54.15,8.21
13/05/2012,day,54.16,8.21
13/05/2012,evening,53.43,6.96
14/05/2012,day,52.87,7.21
14/05/2012,evening,51.8,5.84
15/05/2012,day,51.63,4.09
15/05/2012,evening,53.42,5.84
16/05/2012,day,53.36,6.72
16/05/2012,evening,53.39,7.73
17/05/2012,day,53.23,8.23
17/05/2012,evening,52.43,7.36
18/05/2012,day,51.7,9.37
18/05/2012,evening,50,8.75
19/05/2012,day,50.49,5.75
19/05/2012,evening,52.22,6.13
20/05/2012,day,52.36,5.27
20/05/2012,evening,53.38,6.9
21/05/2012,day,53.5,7.28
21/05/2012,evening,52.68,6.29
22/05/2012,day,51.83,8.8
